date,nav,cash,holding
2023-04-28,100198.0,99489.0,1
2023-05-01,100200.0,100200.0,0
2023-05-02,100200.0,100200.0,0
2023-05-03,100200.0,100200.0,0
2023-05-04,100200.0,100200.0,0
2023-05-05,100200.0,100200.0,0
2023-05-08,100200.0,100200.0,0
2023-05-09,100200.0,100200.0,0
2023-05-10,100200.0,100200.0,0
2023-05-11,100200.0,100200.0,0
2023-05-12,100200.0,100200.0,0
2023-05-15,100200.0,100200.0,0
2023-05-16,100200.0,100200.0,0
2023-05-17,100200.0,100200.0,0
2023-05-18,100200.0,100200.0,0
2023-05-19,100200.0,98895.0,1
2023-05-22,100235.0,100235.0,0
2023-05-23,100235.0,100235.0,0
2023-05-24,100235.0,100235.0,0
2023-05-25,100235.0,100235.0,0
2023-05-26,100235.0,100235.0,0
2023-05-29,100235.0,100235.0,0
2023-05-30,100235.0,98939.0,1
2023-05-31,100235.0,98939.0,1
2023-06-01,100235.0,98939.0,1
2023-06-02,100235.0,98939.0,1
2023-06-05,100286.0,100286.0,0
2023-06-06,100286.0,100286.0,0
2023-06-07,100286.0,99009.0,1
2023-06-08,100286.0,99009.0,1
2023-06-09,100286.0,99009.0,1
2023-06-12,100257.0,99009.0,1
2023-06-13,100286.0,99009.0,1
2023-06-14,100286.0,99009.0,1
2023-06-15,100286.0,99009.0,1
2023-06-16,100286.0,99009.0,1
2023-06-19,100215.0,99009.0,1
2023-06-20,100286.0,99009.0,1
2023-06-21,100286.0,99009.0,1
2023-06-22,100286.0,99009.0,1
2023-06-23,100345.0,100345.0,0
2023-06-26,100345.0,100291.0,1
2023-06-27,100345.0,100291.0,1
2023-06-28,100345.0,100291.0,1
2023-06-29,100468.0,100468.0,0
2023-06-30,100468.0,100468.0,0
2023-07-03,100468.0,100468.0,0
2023-07-04,100468.0,100468.0,0
2023-07-05,100468.0,100468.0,0
2023-07-06,100468.0,100468.0,0
2023-07-07,100468.0,100468.0,0
2023-07-10,100468.0,100468.0,0
2023-07-11,100468.0,100468.0,0
2023-07-12,100468.0,100468.0,0
2023-07-13,100468.0,100468.0,0
2023-07-14,100468.0,100468.0,0
2023-07-17,100468.0,100468.0,0
2023-07-18,100468.0,100468.0,0
2023-07-19,100468.0,100468.0,0
2023-07-20,100468.0,100468.0,0
2023-07-21,100468.0,100468.0,0
2023-07-24,100468.0,99274.0,1
2023-07-25,100468.0,99274.0,1
2023-07-26,100574.0,100574.0,0
2023-07-27,100574.0,100574.0,0
2023-07-28,100574.0,100574.0,0
2023-07-31,100574.0,99262.0,1
2023-08-01,100574.0,99262.0,1
2023-08-02,100574.0,99262.0,1
2023-08-03,100652.0,100652.0,0
2023-08-04,100652.0,99377.0,1
2023-08-07,100695.0,100695.0,0
2023-08-08,100695.0,99435.0,1
2023-08-09,100695.0,99435.0,1
2023-08-10,100695.0,99435.0,1
2023-08-11,100695.0,99435.0,1
2023-08-14,100663.0,99435.0,1
2023-08-15,100695.0,99435.0,1
2023-08-16,100695.0,99435.0,1
2023-08-17,100695.0,99435.0,1
2023-08-18,100695.0,99435.0,1
2023-08-21,100658.0,99435.0,1
2023-08-22,100695.0,99435.0,1
2023-08-23,100695.0,99435.0,1
2023-08-24,100695.0,99435.0,1
2023-08-25,100695.0,99435.0,1
2023-08-28,100844.0,100844.0,0
2023-08-29,100844.0,100844.0,0
2023-08-30,100844.0,100844.0,0
2023-08-31,100844.0,100844.0,0
2023-09-01,100844.0,100749.0,1
2023-09-04,100897.0,100749.0,1
2023-09-05,100844.0,100749.0,1
2023-09-06,100844.0,100749.0,1
2023-09-07,100844.0,100749.0,1
2023-09-08,100844.0,100749.0,1
2023-09-11,100851.0,100749.0,1
2023-09-12,100844.0,100749.0,1
2023-09-13,100844.0,100749.0,1
2023-09-14,100879.0,100879.0,0
2023-09-15,100879.0,100879.0,0
2023-09-18,100879.0,100879.0,0
2023-09-19,100879.0,100879.0,0
2023-09-20,100879.0,100879.0,0
2023-09-21,100879.0,100879.0,0
2023-09-22,100879.0,100879.0,0
2023-09-25,100879.0,100879.0,0
2023-09-26,100879.0,100879.0,0
2023-09-27,100879.0,100879.0,0
2023-09-28,100879.0,100879.0,0
2023-09-29,100879.0,100879.0,0
2023-10-02,100879.0,100879.0,0
2023-10-03,100879.0,100879.0,0
2023-10-04,100879.0,100879.0,0
2023-10-05,100879.0,100879.0,0
2023-10-06,100879.0,100879.0,0
2023-10-09,100879.0,100879.0,0
2023-10-10,100879.0,99835.0,1
2023-10-11,100879.0,99835.0,1
2023-10-12,100879.0,99835.0,1
2023-10-13,100879.0,99835.0,1
2023-10-16,100816.0,100816.0,0
2023-10-17,100816.0,100816.0,0
2023-10-18,100816.0,100816.0,0
2023-10-19,100816.0,100078.0,1
2023-10-20,100816.0,100078.0,1
2023-10-23,100699.0,100078.0,1
2023-10-24,100816.0,100078.0,1
2023-10-25,100816.0,100078.0,1
2023-10-26,100816.0,100078.0,1
2023-10-27,100816.0,100078.0,1
2023-10-30,100800.0,100078.0,1
2023-10-31,100816.0,100078.0,1
2023-11-01,100816.0,100078.0,1
2023-11-02,100816.0,100078.0,1
2023-11-03,100816.0,100078.0,1
2023-11-06,100797.0,100078.0,1
2023-11-07,100816.0,100078.0,1
2023-11-08,100816.0,100078.0,1
2023-11-09,100799.0,100799.0,0
2023-11-10,100799.0,100799.0,0
2023-11-13,100799.0,100799.0,0
2023-11-14,100799.0,100690.0,1
2023-11-15,100773.0,100773.0,0
2023-11-16,100773.0,100773.0,0
2023-11-17,100773.0,100773.0,0
2023-11-20,100773.0,100773.0,0
2023-11-21,100773.0,100773.0,0
2023-11-22,100773.0,100695.0,1
2023-11-23,100783.0,100783.0,0
2023-11-24,100783.0,100692.0,1
2023-11-27,100834.0,100692.0,1
2023-11-28,100826.0,100826.0,0
2023-11-29,100826.0,100826.0,0
2023-11-30,100826.0,100826.0,0
2023-12-01,100826.0,100826.0,0
2023-12-04,100826.0,100826.0,0
2023-12-05,100826.0,100826.0,0
2023-12-06,100826.0,100826.0,0
2023-12-07,100826.0,100826.0,0
2023-12-08,100826.0,100826.0,0
2023-12-11,100826.0,100826.0,0
2023-12-12,100826.0,100826.0,0
2023-12-13,100826.0,100826.0,0
2023-12-14,100826.0,100826.0,0
2023-12-15,100826.0,100767.0,1
2023-12-18,100871.0,100767.0,1
2023-12-19,100826.0,100767.0,1
2023-12-20,100826.0,100767.0,1
2023-12-21,100826.0,100767.0,1
2023-12-22,100826.0,100767.0,1
2023-12-25,100885.0,100767.0,1
2023-12-26,100826.0,100767.0,1
2023-12-27,100826.0,100767.0,1
2023-12-28,100826.0,100767.0,1
2023-12-29,100826.0,100767.0,1
